Date,Close
3/3/2015,99.74
3/4/2015,100.25
3/5/2015,99.11
3/6/2015,97.13
3/9/2015,97.71
3/10/2015,96.29
3/11/2015,94.96
3/12/2015,96.25
3/13/2015,96.35
3/16/2015,97.15
3/17/2015,96.17
3/18/2015,97
3/19/2015,95.98
3/20/2015,97.05
3/23/2015,98.62
3/24/2015,99.36
3/25/2015,98.14
3/26/2015,97.64
3/27/2015,96.96
3/30/2015,97.88
3/31/2015,97.44
4/1/2015,96.29
4/2/2015,95.83
4/6/2015,96.28
4/7/2015,96.35
4/8/2015,96.85
4/9/2015,96.55
4/10/2015,97.8
4/13/2015,97.44
4/14/2015,97.58
4/15/2015,96.44
4/16/2015,95.63
4/17/2015,94.88
4/20/2015,96.18
4/21/2015,94.87
4/22/2015,97.84
4/23/2015,97
4/24/2015,98.74
4/27/2015,96.44
4/28/2015,96.83
4/29/2015,97.02
4/30/2015,96.55
5/1/2015,97.8
5/4/2015,96.13
5/5/2015,96.13
5/6/2015,96.39
5/7/2015,96.78
5/8/2015,98.23
5/11/2015,97.51
5/12/2015,97.95
5/13/2015,97.35
5/14/2015,97.71
5/15/2015,98.04
5/18/2015,98.02
5/19/2015,100.68
5/20/2015,100.11
5/21/2015,99.28
5/22/2015,98.99
5/26/2015,98.46
5/27/2015,98.66
5/28/2015,96.48
5/29/2015,95.93
6/1/2015,96.22
6/2/2015,96.29
6/3/2015,96.52
6/4/2015,96.31
6/5/2015,95.54
6/8/2015,95.32
6/9/2015,94.73
6/10/2015,95.3
6/11/2015,95.59
6/12/2015,95.06
6/15/2015,94.3
6/16/2015,94.63
6/17/2015,95.22
6/18/2015,96.17
6/19/2015,96.08
6/22/2015,96.87
6/23/2015,97.18
6/24/2015,96.64
6/25/2015,95.79
6/26/2015,97.29
6/29/2015,95.44
6/30/2015,95.07
7/1/2015,95.76
7/2/2015,96.17
7/6/2015,95.65
7/7/2015,96.68
7/8/2015,95.84
7/9/2015,96.49
7/10/2015,97.65
7/13/2015,98.43
7/14/2015,98.78
7/15/2015,99.07
7/16/2015,97.86
7/17/2015,97.5
7/20/2015,97.49
7/21/2015,97.32
7/22/2015,97.58
7/23/2015,97.09
7/24/2015,96.1
7/27/2015,96.04
7/28/2015,97.33
7/29/2015,98.21
7/30/2015,99.17
7/31/2015,99.86
8/3/2015,99.42
8/4/2015,99.14
8/5/2015,99.8
8/6/2015,99.35
8/7/2015,98.92
8/10/2015,99.39
8/11/2015,98.81
8/12/2015,98.28
8/13/2015,99.37
8/14/2015,99.27
8/17/2015,100.66
8/18/2015,100.76
8/19/2015,101.1
8/20/2015,99.76
8/21/2015,97.13
8/24/2015,92.87
8/25/2015,91.21
8/26/2015,95.15
8/27/2015,97.33
8/28/2015,96.25
8/31/2015,95.02
9/1/2015,93.47
9/2/2015,96.04
9/3/2015,96.01
9/4/2015,94.85
9/8/2015,96.78
9/9/2015,95.43
9/10/2015,95.25
9/11/2015,97.41
9/14/2015,96.97
9/15/2015,98.19
9/16/2015,98.69
9/17/2015,97.84
9/18/2015,97.05
9/21/2015,97.9
9/22/2015,97.2
9/23/2015,97.38
9/24/2015,97.29
9/25/2015,97.59
9/28/2015,95.96
9/29/2015,97.48
9/30/2015,98.53
10/1/2015,98.78
10/2/2015,99.79
10/5/2015,101.17
10/6/2015,101.9
10/7/2015,101.77
10/8/2015,102.95
10/9/2015,102.76
10/12/2015,103.24
10/13/2015,103.38
10/14/2015,102.82
10/15/2015,103.66
10/16/2015,104.82
10/19/2015,104.49
10/20/2015,103.84
10/21/2015,102.54
10/22/2015,110.87
10/23/2015,112.59
10/26/2015,112.18
10/27/2015,111.64
10/28/2015,112.94
10/29/2015,112.62
10/30/2015,112.25
11/2/2015,112.11
11/3/2015,112.08
11/4/2015,112.4
11/5/2015,112.85
11/6/2015,113.31
11/9/2015,112.93
11/10/2015,113.22
11/11/2015,113.85
11/12/2015,112.11
11/13/2015,109.97
11/16/2015,111.06
11/17/2015,110.94
11/18/2015,112.53
11/19/2015,113.3
11/20/2015,113.91
11/23/2015,114.47
11/24/2015,114.28
11/25/2015,114.4
11/27/2015,114.23
