Date,Close
3/3/2015,155.57
3/4/2015,154.35
3/5/2015,154.47
3/6/2015,153.12
3/9/2015,154.75
3/10/2015,152.42
3/11/2015,151.17
3/12/2015,152.04
3/13/2015,151.57
3/16/2015,153.67
3/17/2015,154.51
3/18/2015,155.73
3/19/2015,154.11
3/20/2015,154.5
3/23/2015,152.81
3/24/2015,151.65
3/25/2015,148.23
3/26/2015,148.17
3/27/2015,148.85
3/30/2015,152.7
3/31/2015,150.08
4/1/2015,148.64
4/2/2015,149.28
4/6/2015,150.93
4/7/2015,152.32
4/8/2015,153.36
4/9/2015,153.42
4/10/2015,154.38
4/13/2015,153.24
4/14/2015,153.21
4/15/2015,152.43
4/16/2015,151.97
4/17/2015,149.6
4/20/2015,152.67
4/21/2015,153.33
4/22/2015,151.19
4/23/2015,149.87
4/24/2015,148.4
4/27/2015,147.8
4/28/2015,147.51
4/29/2015,146.15
4/30/2015,143.34
5/1/2015,144.67
5/4/2015,144.02
5/5/2015,142.91
5/6/2015,141.04
5/7/2015,141.49
5/8/2015,145.46
5/11/2015,145.89
5/12/2015,145.43
5/13/2015,145.62
5/14/2015,147.96
5/15/2015,146.88
5/18/2015,146.71
5/19/2015,147.05
5/20/2015,146.42
5/21/2015,147.35
5/22/2015,144.81
5/26/2015,142.8
5/27/2015,143
5/28/2015,142.33
5/29/2015,140.52
6/1/2015,141.25
6/2/2015,143.25
6/3/2015,143.81
6/4/2015,141.19
6/5/2015,140.73
6/8/2015,140.64
6/9/2015,140.1
6/10/2015,141.62
6/11/2015,142.96
6/12/2015,142.8
6/15/2015,142.29
6/16/2015,142.34
6/17/2015,143.43
6/18/2015,145.38
6/19/2015,145.13
6/22/2015,145.7
6/23/2015,144.43
6/24/2015,143
6/25/2015,142.45
6/26/2015,142.48
6/29/2015,138.73
6/30/2015,138.72
7/1/2015,140.73
7/2/2015,140.21
7/6/2015,140.52
7/7/2015,143.15
7/8/2015,141.92
7/9/2015,142.8
7/10/2015,144.48
7/13/2015,146.62
7/14/2015,147.75
7/15/2015,146.89
7/16/2015,148.49
7/17/2015,146.84
7/20/2015,146.72
7/21/2015,145
7/22/2015,146.47
7/23/2015,146.11
7/24/2015,144.06
7/27/2015,141.03
7/28/2015,141.81
7/29/2015,144.14
7/30/2015,143.01
7/31/2015,144.17
8/3/2015,143.69
8/4/2015,143.54
8/5/2015,144.95
8/6/2015,143.82
8/7/2015,142.42
8/10/2015,145.86
8/11/2015,144.05
8/12/2015,142.43
8/13/2015,144.81
8/14/2015,145.09
8/17/2015,144.44
8/18/2015,144.6
8/19/2015,142.72
8/20/2015,137.02
8/21/2015,131.71
8/24/2015,127.19
8/25/2015,125.49
8/26/2015,129.34
8/27/2015,131.87
8/28/2015,133.24
8/31/2015,130.68
9/1/2015,127.44
9/2/2015,130.63
9/3/2015,131.02
9/4/2015,129.76
9/8/2015,133.82
9/9/2015,132.65
9/10/2015,133.55
9/11/2015,134.67
9/14/2015,134.43
9/15/2015,136.3
9/16/2015,137.2
9/17/2015,137.45
9/18/2015,136.09
9/21/2015,136.02
9/22/2015,133.99
9/23/2015,131.67
9/24/2015,129.75
9/25/2015,131.01
9/28/2015,128.13
9/29/2015,128.75
9/30/2015,130.95
10/1/2015,130.61
10/2/2015,132.56
10/5/2015,134.02
10/6/2015,134.63
10/7/2015,137.02
10/8/2015,139.04
10/9/2015,139.7
10/12/2015,140.68
10/13/2015,140.29
10/14/2015,134.22
10/15/2015,137.39
10/16/2015,137.6
10/19/2015,138.42
10/20/2015,138.88
10/21/2015,141.19
10/22/2015,146.31
10/23/2015,146.7
10/26/2015,146.7
10/27/2015,148.46
10/28/2015,147.88
10/29/2015,147.18
10/30/2015,148.07
11/2/2015,148.4
11/3/2015,148.09
11/4/2015,148.19
11/5/2015,147.97
11/6/2015,147.94
11/9/2015,145.98
11/10/2015,145.15
11/11/2015,144.99
11/12/2015,142.54
11/13/2015,142.59
11/16/2015,144.42
11/17/2015,146.08
11/18/2015,148.28
11/19/2015,149.24
11/20/2015,149.4
11/23/2015,148.34
11/24/2015,148.65
11/25/2015,147.43
11/27/2015,146.95
11/30/2015,145.45
12/1/2015,147.74
12/2/2015,146.96
12/3/2015,145.56
12/4/2015,148.5
12/7/2015,148.45
12/8/2015,144.99
12/9/2015,144.24
12/10/2015,146.41
12/11/2015,144.62
12/14/2015,143
12/15/2015,146.53
12/16/2015,148.11
12/17/2015,145.56
12/18/2015,139.58
12/21/2015,140.9
12/22/2015,142.38
12/23/2015,144.06
12/24/2015,143.53
12/28/2015,144.54
12/29/2015,147.35
12/30/2015,146.41
12/31/2015,144.59
1/4/2016,140.5
1/5/2016,141.07
1/6/2016,138.83
1/7/2016,133.01
1/8/2016,129.99
1/11/2016,130.21
1/12/2016,131.92
1/13/2016,128.12
1/14/2016,129.2
1/15/2016,125.63
1/19/2016,126.06
1/20/2016,122.14
1/21/2016,123.4
1/22/2016,124.61
1/25/2016,124.01
1/26/2016,128.01
1/27/2016,116.58
1/28/2016,118.01
1/29/2016,120.13
2/1/2016,121.56
2/2/2016,117.52
2/3/2016,121.87
2/4/2016,123.61
2/5/2016,122.56
2/8/2016,119.47
2/9/2016,118.88
2/10/2016,116.36
2/11/2016,108.44
2/12/2016,108.63
2/16/2016,112.6
2/17/2016,116.34
2/18/2016,117.57
2/19/2016,115.16
2/22/2016,117.39
2/23/2016,116.9
2/24/2016,115.59
2/25/2016,116.82
2/26/2016,118.16
2/29/2016,118.18
3/1/2016,119.96
3/2/2016,119.65
3/3/2016,119.61
3/4/2016,121.07
3/7/2016,122.9
3/8/2016,122.35
3/9/2016,122.86
3/10/2016,122.94
